Business_name,Last_update_time,Address,Material_accepted
New York City Bulk Item Curbside Program,"Updated Feb 23, 2016",,Air Conditioners; Barbeque Grills; Carpet; Carpet Padding; Dehumidifiers; Dishwashers; Freezers; Heaters; Household Furniture; Humidifiers; Lumber; Refrigerators; Stoves; Washer/Dryers
IMobile LLC,"Updated Feb 29, 2012",370 7th Ave,Cell Phone Accessories; Cell Phones
The 4th Bin,"Updated Feb 17, 2010",307 7th Ave,Cell Phones; Desktop Computers; Inkjet Cartridges; LCD Computer Monitors; LCD Televisions; MP3 Players; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",126 W 34th St,Cell Phone Accessories; Cell Phones
Willoughby's,"Updated Feb 11, 2011",298 5th Ave,Cell Phones; Desktop Computers; Game Consoles; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Telephones
Cartridge World,"Updated May 15, 2013",225 West 23rd Street,Inkjet Cartridges; Toner Cartridges
ProTek Recycling Inc.,"Updated Mar 25, 2013",276 5th Avenue,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; DVD Players; Electronic Servers; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Laptop Computers; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Pagers; Paper Shredders; Printers; Projectors; Receivers; Record Players; Tablets; Telephones; Television Accessories; Two-Way Radios; Typewriters; VCRs
Tekserve,"Updated Jan 23, 2011",119 W 23rd St,Desktop Computers; LCD Computer Monitors; Office Machines
Staples,"Updated Sep 4, 2013",500 8th Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Cartridge World,"Updated May 15, 2013",155 West 35th Street,Inkjet Cartridges; Toner Cartridges
Home Depot,"Updated Jun 20, 2022",40 W 23rd St,Car Batteries; Cell Phones; CFLs; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Nickel-cadmium Batteries
Staples,"Updated Sep 4, 2013",16 East 34th Street,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",175 5th Ave,Cell Phone Accessories; Cell Phones
Staples,"Updated Sep 4, 2013",641 Avenue of the Americas,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Staples,"Updated Sep 4, 2013",442 5th Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Radius Recycling,"Updated Aug 1, 2023",11 Times Square,Aluminum Scrap; Brass; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; Copper; Desktop Computers; Ferrous Metals; Game Consoles; Hard Drives; Home Electronics; Laptop Computers; Nonferrous Metals; Stainless Steel; Zinc
Central Iron and Metal,"Updated May 15, 2013",505 W 27th St,Aluminum Scrap; Brass; Cables; Cookware; Copper; Ferrous Metals; Garden Tools; Hardware; Metal Clothes Hangers; Metal Tags; Musical Instruments - Metal; Nonferrous Metals; Pipe; Scrap Metal; Stainless Steel; Tools; Zinc
Staples Copy and Print Shop,"Updated Sep 4, 2013",315 Park Avenue South,Inkjet Cartridges; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Toner Cartridges
Staples,"Updated Dec 14, 2012",261 Madison Ave,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Silver-oxide Batteries; Tablets; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",57 W 42nd St,Cell Phone Accessories; Cell Phones
Best Buy,"Updated Feb 20, 2023",529 5th Ave,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Curling Irons; Desktop Computers; Digital Cameras; DVD Players; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Projectors; Receivers; Scanners; Small Appliances; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; Vacuum Cleaners; VCRs; Video Game Peripherals
"Mobile City NY, LLC","Updated Feb 29, 2012",606 9th Ave,Cell Phone Accessories; Cell Phones
Staples,"Updated Dec 14, 2012",116 W 14th St,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Silver-oxide Batteries; Tablets; Toner Cartridges
IMobile LLC,"Updated Feb 29, 2012",39 W 14th St,Cell Phone Accessories; Cell Phones
Best Buy,"Updated Feb 20, 2023",52 E 14th St,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Curling Irons; Desktop Computers; Digital Cameras; DVD Players; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Projectors; Receivers; Scanners; Small Appliances; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; Vacuum Cleaners; VCRs; Video Game Peripherals
"The Phone Center, Inc","Updated Feb 29, 2012",232 3rd Ave,Cell Phone Accessories; Cell Phones
Staples,"Updated Sep 4, 2013",776 8th Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Staples,"Updated Sep 4, 2013",5-9 Union Square West,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Staples,"Updated Sep 4, 2013",675 3rd Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",403 6th Ave,Cell Phone Accessories; Cell Phones
Staples,"Updated Sep 4, 2013",390 Avenue of the Americas,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Computer Recycling Services,"Updated Oct 19, 2012",,Cell Phones; Desktop Computers; Office Machines; Telephones; Toner Cartridges
Staples,"Updated Sep 4, 2013",769 Broadway,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Staples Copy and Print Shop,"Updated Sep 4, 2013",1755 Broadway,Inkjet Cartridges; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Toner Cartridges
Cartridge World,"Updated May 15, 2013",153 East 53rd Street,Inkjet Cartridges; Toner Cartridges
Staples,"Updated Sep 4, 2013",425 Park Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",677 Lexington Ave,Cell Phone Accessories; Cell Phones
Best Buy,"Updated Feb 20, 2023",622 Broadway,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Curling Irons; Desktop Computers; Digital Cameras; DVD Players; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Projectors; Receivers; Scanners; Small Appliances; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; Vacuum Cleaners; VCRs; Video Game Peripherals
Home Depot,"Updated Jun 20, 2022",980 3rd Ave,Car Batteries; Cell Phones; CFLs; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Nickel-cadmium Batteries
IMobile LLC,"Updated Feb 29, 2012",1149 2nd Ave,Cell Phone Accessories; Cell Phones
Sprint Store,"Updated Jul 30, 2013",1048 Third Ave,Cell Phone Accessories; Cell Phones
Project For Empty Space,"Updated Aug 30, 2010",137 Attorney St,Brush; Electronic Servers; Tools
Cartridge World,"Updated May 15, 2013",401 Bloomfield Street,Inkjet Cartridges; Toner Cartridges
PS 199 Cell phone and electronics recycling drive,"Updated Dec 23, 2009",270 West 70th Street,Cell Phones; Game Consoles; Inkjet Cartridges; MP3 Players; Toner Cartridges
P.S. 199 Jessie Isador Straus,"Updated Sep 22, 2009",270 W 70th St,CDs; Cell Phones; Desktop Computers; Game Consoles; Inkjet Cartridges; MP3 Players
IMobile LLC,"Updated Feb 29, 2012",267 Amsterdam Ave,Cell Phone Accessories; Cell Phones
Hoboken Department of Public Works - Electronic Waste Drop-off Site,"Updated Mar 20, 2012",256 Observer Highway,Audio Equipment; Cables; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; Game Consoles; GPS Systems; Home Electronics; Laptop Computers; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Paper Shredders; Printers; Receivers; Small Appliances; Tablets; Telephones; Television Accessories; Two-Way Radios; VCRs
Henry Curbside Electronics Recycling,"Updated May 16, 2011",17 Ludlow St,Cell Phones; Desktop Computers; Game Consoles; MP3 Players; Office Machines
Wireless Ritz,"Updated Feb 29, 2012",817 Manhattan Ave,Cell Phone Accessories; Cell Phones
Guardian Data Destruction,"Updated Sep 10, 2009",52-15 11th St,Desktop Computers; Game Consoles; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Telephones
Union City Department of Public Works - Electronic Waste Drop-off Site,"Updated Mar 20, 2012",410 - 27th Street,Audio Equipment; Cables; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; Game Consoles; GPS Systems; Home Electronics; Laptop Computers; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Paper Shredders; Printers; Receivers; Small Appliances; Tablets; Telephones; Television Accessories; Two-Way Radios; VCRs
Staples,"Updated Sep 4, 2013",613 Washington Boulevard,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Target Store,"Updated May 15, 2013",100 14th St,#2 Plastic Bags; #4 Plastic Bags; Cell Phones; Inkjet Cartridges; MP3 Players
Staples,"Updated Sep 4, 2013",2248 Broadway,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Sims Metal Management,"Updated Sep 17, 2013",30-27 Greenpoint Avenue,Air Conditioners; Aluminum Beverage Cans; Aluminum Food Cans; Aluminum Lids; Aluminum Scrap; Auto Parts; Barbeque Grills; Bicycles; Brass; Cookware; Copper; Dehumidifiers; Dishwashers; Ferrous Metals; Freezers; Garden Tools; Hardware; Heaters; Humidifiers; Lawnmowers; Metal Clothes Hangers; Metal Tags; Musical Instruments - Metal; Nonferrous Metals; Pipe; Radiators; Refrigerators; Scrap Metal; Stainless Steel; Steel Cans; Steel Lids; Stoves; Tools; Washer/Dryers; Zinc
Best Buy,"Updated Feb 20, 2023",125 18th St,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Curling Irons; Desktop Computers; Digital Cameras; DVD Players; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Projectors; Receivers; Scanners; Small Appliances; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; Vacuum Cleaners; VCRs; Video Game Peripherals
J&R Music World,"Updated Feb 11, 2011",23 Park Row,Cell Phones; Desktop Computers; Game Consoles; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Telephones
Staples,"Updated May 3, 2012",217 Broadway,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
IMobile LLC,"Updated Feb 29, 2012",2284 Broadway,Cell Phone Accessories; Cell Phones
Staples,"Updated Sep 4, 2013",217 Broadway,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Allocco Recycling Ltd,"Updated Oct 14, 2020",540 Kingsland Avenue,Aluminum Scrap; Audio Equipment; Auto Parts; Bicycles; Blu-Ray Players; Boomboxes; Brass; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; Cookware; Copper; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; DVD Players; Electronic Servers; Ferrous Metals; Game Consoles; Garden Tools; GPS Systems; Hard Drives; Hardware; Home Electronics; Laptop Computers; Lawnmowers; LCD Computer Monitors; LCD Televisions; Metal Clothes Hangers; Metal Tags; MP3 Players; Musical Instruments - Metal; Nonferrous Metals; Office Machines; Pagers; Paper Shredders; Pipe; Power Tools; Printers; Projectors; Radiators; Receivers; Record Players; Scanners; Scrap Metal; Stainless Steel; Tablets; Telephones; Television Accessories; Tools; Two-Way Radios; Typewriters; VCRs; Video Game Peripherals; Zinc
"Arjay Telecommunications, Inc.","Updated Feb 29, 2012",30 Mall Dr W,Cell Phone Accessories; Cell Phones
Home Depot,"Updated Jun 20, 2022",180 12th St,Car Batteries; Cell Phones; CFLs; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Nickel-cadmium Batteries
Sprint Store,"Updated Jul 30, 2013",170 Broadway,Cell Phone Accessories; Cell Phones
Sprint Store,"Updated Jul 30, 2013",169 E 86th St,Cell Phone Accessories; Cell Phones
West New York Department of Public Works - Electronic Waste Drop-off Site,"Updated Mar 20, 2012",6200 Broadway,Audio Equipment; Cables; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; Game Consoles; GPS Systems; Home Electronics; Laptop Computers; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Paper Shredders; Printers; Receivers; Small Appliances; Tablets; Telephones; Television Accessories; Two-Way Radios; VCRs
Sprint Store,"Updated Jul 30, 2013",3101 John F Kennedy Blvd W,Cell Phone Accessories; Cell Phones
Best Buy,"Updated Feb 20, 2023",1280 Lexington Ave,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Curling Irons; Desktop Computers; Digital Cameras; DVD Players; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Paper Shredders; Printers; Projectors; Receivers; Scanners; Small Appliances; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; Vacuum Cleaners; VCRs; Video Game Peripherals
Asd,"Updated Mar 22, 2012",120 E 87th St,#5 Plastic Clamshells; #6 Plastic Peanuts; Auto Bodies; Car Batteries; Cell Phone Accessories; Innertubes
Staples,"Updated Sep 4, 2013",3113 John F Kennedy Boulevard West,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Staples,"Updated Sep 4, 2013",1280 Lexington Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
"The Phone Center, Inc","Updated Feb 29, 2012",120 Water St,Cell Phone Accessories; Cell Phones
Advanced Cellular Solutions,"Updated Oct 3, 2012",52-14 34th St,Audio Equipment; Cables; Car Batteries; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Desktop Computers; Digital Cameras; Floppy Disks; Game Consoles; GPS Systems; Home Electronics; Inkjet Cartridges; Laptop Computers; Lead-acid Batteries - Non-automotive; Lithium-ion Batteries; Marine Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Receivers; Tablets; Telephones; Television Accessories; Toner Cartridges; Two-Way Radios; VCRs
Hudson County Household Hazardous Waste Collection Program,"Updated Jan 22, 2015",,Acids; Adhesives; Aerosol Cans - Empty; Aerosol Cans - Full; Antifreeze; Audio Equipment; Blu-Ray Players; Boomboxes; Brake Fluid; Button Cell Batteries; Cables; Calculators; Car Batteries; Car Fluids; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; CFLs; Chemistry Sets; Computer Peripherals - External; Computer Peripherals - Internal; Cooking Oil; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; DVD Players; Electronic Servers; Engine Degreasers; Fertilizers; Fire Extinguishers; Fluorescent Tubes; Fungicides; Game Consoles; Gas/Oil Mixture; Gasoline; GPS Systems; Hair Dye; Hair Spray; Hard Drives; Herbicides; HHW; Home Electronics; Household Cleaners; Hydraulic Fluid; Insecticides; Items Containing Mercury; Kerosene; Lacquer; Laptop Computers; LCD Computer Monitors; LCD Televisions; Lead Paint Chips; Lead-acid Batteries - Non-automotive; Lice Shampoo; Lighter Fluid; Lithium-ion Batteries; Mercury Thermostats; Motor Oil; MP3 Players; Nail Polish; Nail Polish Removers; Nickel-cadmium Batteries; Nickel-metal Hydride Batteries; Nickel-zinc Batteries; Office Machines; Oil Filters; Oil-Based Paint; Pagers; Paint Strippers; Paint Thinners; Paper Shredders; Pesticides; Photographic Chemicals; Pool Chemicals; Power Steering Fluid; Printers; Projectors; Propane Tanks; Receivers; Record Players; Road Flares; Sealers; Solvents; Tablets; Telephones; Television Accessories; Transmission Fluid; Two-Way Radios; Typewriters; Varnish; VCRs; Wood Stains
Staples,"Updated Sep 4, 2013",535 Morgan Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
